cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-01-01,0.0,0.0,2.9,2.9,4.83,9.18,11.11,13.53,14.49,15.46,16.91,20.29,23.67,25.12,25.12,25.12,25.12,25.12,25.12,25.12,25.12,25.12,25.12,25.12
2024-02-01,0.0,0.0,3.16,3.68,5.79,8.42,9.47,13.16,16.32,18.95,20.53,24.74,27.37,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,
2024-03-01,0.0,0.0,2.55,5.61,6.12,7.14,9.18,13.27,18.37,18.88,21.43,23.47,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,26.53,,
2024-04-01,0.0,0.0,2.96,6.4,9.36,12.32,14.78,16.75,19.7,21.67,25.12,27.09,29.56,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,,,
2024-05-01,0.0,0.0,0.44,2.62,5.24,6.11,8.73,10.92,12.66,13.97,15.28,17.03,19.21,20.52,20.52,20.52,20.52,20.52,20.52,20.52,,,,
2024-06-01,0.0,0.0,1.93,3.86,7.25,8.21,9.18,12.56,14.49,16.91,20.29,22.71,23.19,25.6,25.6,25.6,25.6,25.6,25.6,,,,,
2024-07-01,0.0,0.0,2.66,4.79,7.45,9.04,10.11,12.77,14.89,17.55,20.74,23.4,23.4,25.0,25.0,25.0,25.0,25.0,,,,,,
2024-08-01,0.0,0.43,3.45,6.47,7.76,8.19,9.05,11.64,14.22,17.67,19.83,21.98,22.84,25.0,25.0,25.0,25.0,,,,,,,
2024-09-01,0.0,0.0,1.85,2.31,5.09,8.8,12.04,15.28,18.52,20.83,24.54,26.85,28.7,29.63,29.63,29.63,,,,,,,,
2024-10-01,0.0,0.0,2.38,4.29,6.19,7.62,9.05,10.48,13.81,16.19,17.62,18.57,20.95,22.86,22.86,,,,,,,,,
2024-11-01,0.0,0.0,1.89,3.3,5.66,8.02,9.91,12.74,14.62,17.45,20.75,22.17,23.11,24.53,,,,,,,,,,
2024-12-01,0.0,0.0,1.84,5.53,6.45,6.91,7.83,9.68,14.29,17.51,19.82,21.2,22.58,,,,,,,,,,,
2025-01-01,0.0,0.0,3.65,5.94,7.76,10.5,13.24,15.07,18.26,21.92,24.2,25.11,,,,,,,,,,,,
2025-02-01,0.0,0.0,1.6,4.79,7.98,10.64,12.23,13.3,15.96,17.55,20.21,,,,,,,,,,,,,
2025-03-01,0.0,0.0,3.46,6.49,9.52,11.26,11.69,12.99,15.15,17.32,,,,,,,,,,,,,,
2025-04-01,0.0,0.0,1.39,5.56,7.87,12.04,14.81,17.13,20.37,,,,,,,,,,,,,,,
2025-05-01,0.0,0.0,3.3,7.08,10.85,12.26,14.62,16.98,,,,,,,,,,,,,,,,
2025-06-01,0.0,0.0,2.36,5.66,10.85,13.21,15.09,,,,,,,,,,,,,,,,,
2025-07-01,0.0,0.0,4.76,9.52,17.62,20.95,,,,,,,,,,,,,,,,,,
2025-08-01,0.0,0.0,3.67,10.55,17.43,,,,,,,,,,,,,,,,,,,
2025-09-01,0.0,0.0,4.44,10.0,,,,,,,,,,,,,,,,,,,,
2025-10-01,0.0,0.51,6.09,,,,,,,,,,,,,,,,,,,,,
2025-11-01,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,0.0,,,,,,,,,,,,,,,,,,,,,,,
