cohort,month_1_churn,month_3_churn,month_6_churn,month_12_churn
2024-01-01,0.0,2.9,11.11,23.67
2024-02-01,0.0,3.68,9.47,27.37
2024-03-01,0.0,5.61,9.18,26.53
2024-04-01,0.0,6.4,14.78,29.56
2024-05-01,0.0,2.62,8.73,19.21
2024-06-01,0.0,3.86,9.18,23.19
2024-07-01,0.0,4.79,10.11,23.4
2024-08-01,0.43,6.47,9.05,22.84
2024-09-01,0.0,2.31,12.04,28.7
2024-10-01,0.0,4.29,9.05,20.95
2024-11-01,0.0,3.3,9.91,23.11
2024-12-01,0.0,5.53,7.83,22.58
2025-01-01,0.0,5.94,13.24,
2025-02-01,0.0,4.79,12.23,
2025-03-01,0.0,6.49,11.69,
2025-04-01,0.0,5.56,14.81,
2025-05-01,0.0,7.08,14.62,
2025-06-01,0.0,5.66,15.09,
2025-07-01,0.0,9.52,,
2025-08-01,0.0,10.55,,
2025-09-01,0.0,10.0,,
2025-10-01,0.51,,,
2025-11-01,0.46,,,
2025-12-01,,,,
