cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-01-01,100.0,100.0,97.1,97.1,95.17,90.82,88.89,86.47,85.51,84.54,83.09,79.71,76.33,74.88,74.88,74.88,74.88,74.88,74.88,74.88,74.88,74.88,74.88,74.88
2024-02-01,100.0,100.0,96.84,96.32,94.21,91.58,90.53,86.84,83.68,81.05,79.47,75.26,72.63,71.05,71.05,71.05,71.05,71.05,71.05,71.05,71.05,71.05,71.05,
2024-03-01,100.0,100.0,97.45,94.39,93.88,92.86,90.82,86.73,81.63,81.12,78.57,76.53,73.47,73.47,73.47,73.47,73.47,73.47,73.47,73.47,73.47,73.47,,
2024-04-01,100.0,100.0,97.04,93.6,90.64,87.68,85.22,83.25,80.3,78.33,74.88,72.91,70.44,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,,,
2024-05-01,100.0,100.0,99.56,97.38,94.76,93.89,91.27,89.08,87.34,86.03,84.72,82.97,80.79,79.48,79.48,79.48,79.48,79.48,79.48,79.48,,,,
2024-06-01,100.0,100.0,98.07,96.14,92.75,91.79,90.82,87.44,85.51,83.09,79.71,77.29,76.81,74.4,74.4,74.4,74.4,74.4,74.4,,,,,
2024-07-01,100.0,100.0,97.34,95.21,92.55,90.96,89.89,87.23,85.11,82.45,79.26,76.6,76.6,75.0,75.0,75.0,75.0,75.0,,,,,,
2024-08-01,100.0,99.57,96.55,93.53,92.24,91.81,90.95,88.36,85.78,82.33,80.17,78.02,77.16,75.0,75.0,75.0,75.0,,,,,,,
2024-09-01,100.0,100.0,98.15,97.69,94.91,91.2,87.96,84.72,81.48,79.17,75.46,73.15,71.3,70.37,70.37,70.37,,,,,,,,
2024-10-01,100.0,100.0,97.62,95.71,93.81,92.38,90.95,89.52,86.19,83.81,82.38,81.43,79.05,77.14,77.14,,,,,,,,,
2024-11-01,100.0,100.0,98.11,96.7,94.34,91.98,90.09,87.26,85.38,82.55,79.25,77.83,76.89,75.47,,,,,,,,,,
2024-12-01,100.0,100.0,98.16,94.47,93.55,93.09,92.17,90.32,85.71,82.49,80.18,78.8,77.42,,,,,,,,,,,
2025-01-01,100.0,100.0,96.35,94.06,92.24,89.5,86.76,84.93,81.74,78.08,75.8,74.89,,,,,,,,,,,,
2025-02-01,100.0,100.0,98.4,95.21,92.02,89.36,87.77,86.7,84.04,82.45,79.79,,,,,,,,,,,,,
2025-03-01,100.0,100.0,96.54,93.51,90.48,88.74,88.31,87.01,84.85,82.68,,,,,,,,,,,,,,
2025-04-01,100.0,100.0,98.61,94.44,92.13,87.96,85.19,82.87,79.63,,,,,,,,,,,,,,,
2025-05-01,100.0,100.0,96.7,92.92,89.15,87.74,85.38,83.02,,,,,,,,,,,,,,,,
2025-06-01,100.0,100.0,97.64,94.34,89.15,86.79,84.91,,,,,,,,,,,,,,,,,
2025-07-01,100.0,100.0,95.24,90.48,82.38,79.05,,,,,,,,,,,,,,,,,,
2025-08-01,100.0,100.0,96.33,89.45,82.57,,,,,,,,,,,,,,,,,,,
2025-09-01,100.0,100.0,95.56,90.0,,,,,,,,,,,,,,,,,,,,
2025-10-01,100.0,99.49,93.91,,,,,,,,,,,,,,,,,,,,,
2025-11-01,100.0,99.54,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,100.0,,,,,,,,,,,,,,,,,,,,,,,
