customer_id,avg_session_duration,avg_feature_usage,avg_engagement_rate,avg_satisfaction,avg_nps,avg_monthly_revenue,latest_monthly_revenue,active_months,first_monthly_revenue,revenue_change,revenue_trend,cluster,customer_type,plan_type,region,industry,company_size,tenure_months
CUST_00001,36.285714285714285,3.9523809523809526,0.5714285714285714,,,49.0,49,21,49,0,Stable,1,Mid-market,Basic,Europe,Finance,171,20
CUST_00002,17.333333333333332,1.8888888888888888,,,,29.0,29,9,29,0,Stable,1,SMB,Basic,Europe,Finance,24,8
CUST_00003,27.35,2.0,0.0,7.0,29.0,299.0,299,20,299,0,Stable,1,SMB,Enterprise,Latin America,Education,2,19
CUST_00004,72.27777777777777,7.5,0.6388888888888888,,,999.0,999,18,999,0,Stable,0,Enterprise,Enterprise,Europe,Technology,3404,17
CUST_00005,15.666666666666666,1.0,,,,29.0,29,3,29,0,Stable,1,SMB,Basic,Latin America,Education,15,2
CUST_00006,22.714285714285715,1.1428571428571428,0.5,,,29.0,29,7,29,0,Stable,1,SMB,Basic,Europe,Education,3,6
CUST_00007,32.857142857142854,2.4285714285714284,0.6666666666666666,,,49.0,49,7,49,0,Stable,1,Mid-market,Basic,Latin America,Technology,365,6
CUST_00008,44.5,3.4583333333333335,0.375,9.0,33.0,49.0,49,24,49,0,Stable,1,Mid-market,Basic,North America,Finance,141,23
CUST_00009,37.083333333333336,3.75,0.75,8.0,34.0,199.0,199,12,199,0,Stable,1,Mid-market,Pro,Latin America,Healthcare,469,11
CUST_00010,28.5,3.1666666666666665,0.5,,,49.0,49,6,49,0,Stable,1,Mid-market,Basic,North America,E-commerce,309,5
CUST_00011,55.666666666666664,7.666666666666667,0.5,,,999.0,999,9,999,0,Stable,0,Enterprise,Enterprise,North America,Technology,1495,8
CUST_00012,43.375,2.875,0.75,7.5,29.5,49.0,49,16,49,0,Stable,1,Mid-market,Basic,North America,E-commerce,239,15
CUST_00013,36.6,3.6666666666666665,1.0,,,199.0,199,15,199,0,Stable,1,Mid-market,Pro,Europe,Finance,266,14
CUST_00014,21.8,1.2,0.0,7.0,18.5,29.0,29,5,29,0,Stable,1,SMB,Basic,North America,Finance,7,4
CUST_00015,34.142857142857146,1.5714285714285714,0.0,,,49.0,49,7,49,0,Stable,1,Mid-market,Basic,North America,Healthcare,441,6
CUST_00016,24.0,1.0,0.75,,,199.0,199,2,199,0,Stable,1,Mid-market,Pro,North America,Technology,90,1
CUST_00017,82.04166666666667,7.666666666666667,0.42857142857142855,7.0,3.0,999.0,999,24,999,0,Stable,0,Enterprise,Enterprise,North America,Technology,2954,23
CUST_00018,17.0,1.5,0.0,,,99.0,99,6,99,0,Stable,1,SMB,Pro,Latin America,E-commerce,1,5
CUST_00019,56.5,2.5,1.0,,,999.0,999,4,999,0,Stable,0,Enterprise,Enterprise,Europe,Finance,4993,3
CUST_00020,36.416666666666664,2.4166666666666665,0.75,,,49.0,49,12,49,0,Stable,1,Mid-market,Basic,North America,Education,112,11
CUST_00021,28.11764705882353,2.0588235294117645,0.375,8.0,23.0,29.0,29,17,29,0,Stable,1,SMB,Basic,North America,E-commerce,39,16
CUST_00022,15.0,0.6666666666666666,,,,49.0,49,3,49,0,Stable,1,Mid-market,Basic,Asia-Pacific,Healthcare,333,2
CUST_00023,31.5,1.5,,,,49.0,49,2,49,0,Stable,1,Mid-market,Basic,Latin America,Finance,77,1
CUST_00024,21.5,1.5,0.0,,,99.0,99,4,99,0,Stable,1,SMB,Pro,North America,Healthcare,28,3
CUST_00025,20.0,0.5,,,,29.0,29,4,29,0,Stable,1,SMB,Basic,Europe,Retail,13,3
CUST_00026,18.11111111111111,1.8888888888888888,0.5,,,29.0,29,9,29,0,Stable,1,SMB,Basic,Europe,Retail,33,8
CUST_00027,26.58823529411765,1.7058823529411764,0.2,,,99.0,99,17,99,0,Stable,1,SMB,Pro,North America,E-commerce,24,16
CUST_00028,24.529411764705884,1.2941176470588236,0.3333333333333333,6.666666666666667,14.333333333333334,29.0,29,17,29,0,Stable,1,SMB,Basic,Latin America,Technology,39,16
CUST_00029,38.166666666666664,2.8333333333333335,0.6666666666666666,,,49.0,49,12,49,0,Stable,1,Mid-market,Basic,North America,Retail,51,11
CUST_00030,10.666666666666666,0.6666666666666666,0.5,,,29.0,29,3,29,0,Stable,1,SMB,Basic,Europe,Retail,2,2
CUST_00031,13.5,1.25,,,,299.0,299,4,299,0,Stable,1,SMB,Enterprise,North America,Education,17,3
CUST_00032,23.266666666666666,2.0,0.0,,,29.0,29,15,29,0,Stable,1,SMB,Basic,North America,E-commerce,48,14
CUST_00033,42.55,3.2,0.8,8.0,31.0,49.0,49,20,49,0,Stable,1,Mid-market,Basic,Asia-Pacific,E-commerce,308,19
CUST_00034,11.333333333333334,0.0,,,,29.0,29,3,29,0,Stable,1,SMB,Basic,Europe,Technology,19,2
CUST_00035,40.45,3.05,,,,49.0,49,20,49,0,Stable,1,Mid-market,Basic,North America,Retail,88,19
CUST_00036,45.84615384615385,3.3846153846153846,0.3333333333333333,,,199.0,199,13,199,0,Stable,1,Mid-market,Pro,North America,Retail,200,12
CUST_00037,86.0,7.636363636363637,1.0,10.0,40.0,299.0,299,11,299,0,Stable,0,Enterprise,Pro,North America,Education,1123,10
CUST_00038,18.5,0.8333333333333334,0.3333333333333333,,,299.0,299,6,299,0,Stable,1,SMB,Enterprise,Latin America,E-commerce,37,5
CUST_00039,43.375,2.875,1.0,,,49.0,49,8,49,0,Stable,1,Mid-market,Basic,Asia-Pacific,Healthcare,257,7
