customer_id,engagement_month,engagement_count,response_rate,avg_response_rate
CUST_00001,2024-12-01,1,1.0,0.55
CUST_00001,2025-01-01,1,0.0,0.55
CUST_00001,2025-02-01,1,1.0,0.55
CUST_00001,2025-03-01,1,1.0,0.61
CUST_00001,2025-05-01,1,0.0,0.55
CUST_00001,2025-09-01,2,0.0,0.5800000000000001
CUST_00001,2025-10-01,1,1.0,0.66
CUST_00003,2025-10-01,1,0.0,0.42
CUST_00004,2024-07-01,2,1.0,0.79
CUST_00004,2024-08-01,1,1.0,0.9
CUST_00004,2024-09-01,1,0.0,0.75
CUST_00004,2024-10-01,1,0.0,0.9
CUST_00004,2025-02-01,1,1.0,0.75
CUST_00004,2025-03-01,3,0.6666666666666666,0.75
CUST_00004,2025-05-01,1,1.0,0.75
CUST_00004,2025-08-01,1,1.0,0.75
CUST_00004,2025-09-01,1,0.0,0.75
CUST_00004,2025-10-01,1,1.0,0.75
CUST_00004,2025-11-01,3,1.0,0.75
CUST_00004,2025-12-01,1,0.0,0.75
CUST_00005,2025-11-01,1,1.0,0.39
CUST_00006,2024-07-01,2,0.5,0.35
CUST_00006,2025-02-01,1,1.0,0.35
CUST_00006,2025-04-01,1,0.0,0.35
CUST_00006,2025-10-01,1,1.0,0.39
CUST_00007,2025-06-01,1,1.0,0.55
CUST_00007,2025-09-01,2,0.0,0.55
CUST_00007,2025-10-01,1,1.0,0.61
CUST_00007,2025-12-01,1,0.0,0.55
CUST_00008,2024-07-01,2,1.0,0.66
CUST_00008,2024-08-01,2,1.0,0.55
CUST_00008,2024-11-01,1,0.0,0.55
CUST_00008,2025-02-01,1,0.0,0.55
CUST_00008,2025-03-01,1,0.0,0.55
CUST_00008,2025-04-01,1,1.0,0.61
CUST_00008,2025-06-01,1,0.0,0.55
CUST_00008,2025-10-01,1,0.0,0.55
CUST_00009,2025-07-01,1,1.0,0.61
CUST_00009,2025-08-01,2,0.5,0.5800000000000001
CUST_00009,2025-12-01,1,0.0,0.55
CUST_00010,2025-08-01,1,0.0,0.55
CUST_00010,2025-10-01,1,1.0,0.55
CUST_00011,2025-08-01,1,0.0,0.75
CUST_00011,2025-09-01,1,1.0,0.83
CUST_00012,2025-03-01,1,0.0,0.61
CUST_00012,2025-10-01,1,1.0,0.55
CUST_00012,2025-11-01,1,1.0,0.55
CUST_00012,2025-12-01,1,1.0,0.61
CUST_00013,2025-02-01,1,1.0,0.66
CUST_00013,2025-08-01,1,1.0,0.66
CUST_00014,2024-09-01,2,0.0,0.385
CUST_00014,2025-06-01,1,1.0,0.35
CUST_00014,2025-07-01,1,0.0,0.42
CUST_00014,2025-09-01,1,0.0,0.35
CUST_00015,2025-08-01,1,0.0,0.55
CUST_00015,2025-12-01,1,0.0,0.61
CUST_00016,2025-11-01,2,0.5,0.55
CUST_00016,2025-12-01,1,1.0,0.66
CUST_00017,2024-08-01,1,0.0,0.75
CUST_00017,2024-09-01,1,0.0,0.75
CUST_00017,2024-11-01,1,0.0,0.83
CUST_00017,2025-01-01,1,1.0,0.9
