customer_id,feedback_month,satisfaction_score,nps_score,feedback_category
CUST_00003,2024-10-01,7,30,Product
CUST_00003,2024-08-01,7,28,Features
CUST_00008,2025-11-01,9,33,Product
CUST_00009,2025-06-01,8,34,Features
CUST_00012,2025-07-01,7,34,Product
CUST_00012,2024-12-01,8,25,Product
CUST_00014,2024-09-01,7,9,Features
CUST_00014,2024-11-01,7,28,Product
CUST_00017,2024-11-01,7,3,Product
CUST_00021,2025-09-01,8,23,Integration
CUST_00028,2025-11-01,6,-4,Product
CUST_00028,2025-05-01,5,0,Features
CUST_00028,2025-04-01,9,47,Product
CUST_00033,2025-09-01,8,31,Product
CUST_00037,2025-07-01,10,40,Product
CUST_00046,2025-01-01,4,-21,Product
CUST_00051,2025-11-01,7,32,Features
CUST_00054,2025-11-01,5,-10,Support
CUST_00056,2025-04-01,7,28,Support
CUST_00056,2025-05-01,7,30,Support
CUST_00056,2025-08-01,7,28,Product
CUST_00057,2025-09-01,6,12,Features
CUST_00059,2025-11-01,8,48,Product
CUST_00066,2025-05-01,7,11,Product
CUST_00067,2024-10-01,7,3,Features
CUST_00067,2025-11-01,6,17,Features
CUST_00073,2025-03-01,7,24,Support
CUST_00074,2025-12-01,7,46,Features
CUST_00076,2024-06-01,6,0,Product
CUST_00076,2025-04-01,7,29,Support
CUST_00078,2025-06-01,10,50,Integration
CUST_00084,2025-12-01,7,26,Product
CUST_00087,2024-12-01,9,52,Integration
CUST_00090,2025-09-01,5,-15,Support
CUST_00093,2025-01-01,6,28,Product
CUST_00096,2025-04-01,6,-3,Product
CUST_00102,2025-07-01,10,47,Product
CUST_00105,2025-11-01,5,-3,Product
CUST_00113,2025-08-01,8,19,Integration
CUST_00114,2025-06-01,7,23,Features
CUST_00116,2025-10-01,7,38,Features
CUST_00118,2025-04-01,7,14,Features
CUST_00119,2025-05-01,8,14,Features
CUST_00119,2024-05-01,9,24,Features
CUST_00122,2025-02-01,7,43,Support
CUST_00123,2025-08-01,7,23,Support
CUST_00125,2025-11-01,5,1,Product
CUST_00127,2024-03-01,7,26,Support
CUST_00128,2025-07-01,9,27,Product
CUST_00140,2024-09-01,7,26,Product
CUST_00140,2024-03-01,8,42,Product
CUST_00141,2025-10-01,7,-6,Features
CUST_00142,2025-08-01,5,-10,Support
CUST_00149,2025-10-01,8,22,Product
CUST_00156,2025-05-01,9,34,Integration
CUST_00160,2025-02-01,6,20,Product
CUST_00164,2025-11-01,9,25,Integration
CUST_00166,2025-12-01,6,10,Product
CUST_00173,2025-07-01,6,21,Features
CUST_00175,2025-05-01,5,9,Features
CUST_00175,2025-11-01,5,9,Product
CUST_00177,2024-07-01,5,-13,Support
CUST_00181,2025-09-01,9,17,Integration
CUST_00186,2025-12-01,6,25,Features
CUST_00188,2025-01-01,8,25,Integration
CUST_00188,2025-11-01,6,-7,Features
CUST_00190,2025-11-01,7,22,Support
CUST_00190,2025-06-01,10,54,Product
CUST_00194,2025-03-01,7,35,Features
CUST_00195,2025-11-01,7,21,Features
CUST_00198,2024-07-01,8,46,Features
CUST_00200,2025-01-01,8,30,Product
CUST_00208,2025-01-01,6,9,Product
CUST_00208,2024-11-01,8,19,Features
CUST_00210,2025-02-01,7,38,Features
CUST_00211,2025-05-01,6,-3,Product
CUST_00211,2025-10-01,7,35,Support
CUST_00224,2025-02-01,7,7,Product
CUST_00225,2025-10-01,7,13,Features
CUST_00228,2025-08-01,6,-1,Product
CUST_00230,2025-12-01,9,44,Features
CUST_00231,2025-09-01,7,25,Product
CUST_00232,2024-05-01,6,-6,Product
CUST_00232,2024-08-01,10,43,Product
CUST_00237,2024-11-01,8,25,Product
CUST_00238,2025-09-01,9,37,Features
CUST_00240,2025-11-01,7,13,Support
CUST_00241,2025-12-01,5,7,Product
CUST_00255,2025-09-01,6,-4,Support
CUST_00259,2025-02-01,6,11,Support
CUST_00260,2025-11-01,7,19,Support
CUST_00268,2025-06-01,8,31,Product
CUST_00270,2025-10-01,8,46,Product
CUST_00274,2025-06-01,6,1,Product
CUST_00275,2025-05-01,9,43,Product
CUST_00281,2025-07-01,9,62,Integration
CUST_00283,2025-08-01,6,5,Support
CUST_00292,2025-11-01,9,36,Product
CUST_00294,2024-05-01,7,11,Product
CUST_00301,2025-03-01,8,11,Features
CUST_00305,2025-12-01,7,30,Features
CUST_00309,2025-11-01,5,-8,Support
CUST_00314,2024-05-01,7,28,Support
CUST_00319,2025-11-01,9,41,Product
CUST_00322,2025-01-01,7,24,Product
CUST_00322,2025-12-01,6,1,Product
CUST_00328,2024-10-01,4,-32,Pricing
CUST_00333,2025-03-01,7,25,Features
CUST_00334,2025-03-01,6,2,Features
CUST_00337,2025-08-01,8,21,Product
CUST_00344,2025-05-01,7,20,Support
CUST_00348,2024-11-01,6,-23,Features
CUST_00348,2025-11-01,5,-1,Support
CUST_00352,2025-05-01,7,24,Product
CUST_00353,2025-07-01,5,4,Features
CUST_00354,2025-05-01,8,40,Product
CUST_00356,2024-12-01,5,15,Product
CUST_00358,2025-01-01,6,16,Product
CUST_00359,2025-11-01,7,26,Product
CUST_00359,2024-11-01,6,2,Features
CUST_00363,2025-12-01,9,58,Features
CUST_00363,2025-03-01,9,73,Integration
CUST_00367,2025-05-01,7,28,Features
CUST_00367,2025-03-01,9,65,Integration
CUST_00372,2024-12-01,8,55,Product
CUST_00372,2025-08-01,9,52,Product
CUST_00375,2025-06-01,7,19,Product
CUST_00378,2025-11-01,7,26,Product
CUST_00387,2025-12-01,6,13,Product
CUST_00390,2025-09-01,9,41,Integration
CUST_00395,2025-02-01,7,40,Support
CUST_00395,2024-07-01,6,12,Support
CUST_00399,2025-08-01,6,2,Product
CUST_00402,2025-10-01,6,24,Product
CUST_00402,2025-09-01,6,-1,Support
CUST_00405,2025-05-01,7,5,Features
CUST_00409,2024-06-01,7,26,Product
CUST_00412,2025-05-01,8,28,Features
CUST_00412,2024-04-01,9,40,Product
CUST_00415,2025-11-01,8,36,Integration
CUST_00418,2025-08-01,6,1,Support
CUST_00419,2025-02-01,4,-21,Pricing
CUST_00427,2025-11-01,7,22,Features
CUST_00431,2025-10-01,6,38,Support
CUST_00434,2025-10-01,9,21,Features
CUST_00434,2024-08-01,9,26,Integration
CUST_00436,2024-06-01,9,37,Product
CUST_00436,2025-05-01,7,14,Features
CUST_00448,2024-09-01,10,36,Product
CUST_00452,2025-08-01,8,29,Product
CUST_00453,2025-12-01,6,20,Product
CUST_00454,2025-02-01,6,4,Features
CUST_00463,2025-10-01,5,4,Features
CUST_00465,2025-05-01,10,69,Features
CUST_00466,2025-04-01,10,49,Product
CUST_00467,2025-08-01,7,17,Features
CUST_00471,2025-10-01,7,20,Features
CUST_00474,2025-06-01,9,30,Product
CUST_00478,2025-06-01,7,37,Product
CUST_00478,2025-06-01,9,32,Features
CUST_00481,2025-12-01,10,42,Features
CUST_00483,2025-09-01,8,41,Product
CUST_00483,2025-10-01,7,30,Product
CUST_00486,2025-07-01,7,13,Features
CUST_00490,2024-08-01,7,25,Product
CUST_00491,2025-11-01,8,25,Features
CUST_00496,2025-12-01,7,25,Support
CUST_00501,2024-02-01,7,23,Product
CUST_00504,2025-10-01,7,-7,Product
CUST_00505,2025-09-01,6,-1,Product
CUST_00507,2025-11-01,7,9,Support
CUST_00508,2025-11-01,10,64,Product
CUST_00508,2025-11-01,5,15,Product
CUST_00513,2025-06-01,6,-1,Features
CUST_00516,2024-07-01,8,40,Features
CUST_00521,2025-12-01,6,4,Product
CUST_00523,2025-09-01,7,18,Features
CUST_00526,2025-05-01,5,1,Support
CUST_00533,2024-11-01,6,1,Product
CUST_00537,2025-01-01,7,12,Support
CUST_00546,2025-12-01,8,33,Product
CUST_00549,2024-05-01,8,33,Features
CUST_00550,2024-08-01,9,51,Features
CUST_00553,2024-12-01,5,17,Product
CUST_00563,2024-07-01,8,44,Product
CUST_00563,2024-06-01,8,15,Integration
CUST_00574,2025-11-01,7,16,Product
CUST_00574,2025-08-01,6,8,Support
CUST_00584,2025-09-01,6,30,Product
CUST_00587,2025-10-01,8,30,Product
CUST_00590,2025-10-01,8,17,Features
CUST_00591,2025-09-01,6,1,Features
CUST_00598,2025-07-01,7,21,Product
CUST_00601,2025-03-01,6,17,Support
CUST_00604,2025-09-01,6,6,Features
CUST_00605,2024-09-01,8,38,Features
CUST_00606,2025-01-01,7,18,Support
CUST_00612,2025-02-01,9,47,Features
CUST_00617,2025-12-01,7,2,Features
CUST_00630,2024-10-01,7,17,Features
CUST_00631,2025-09-01,7,11,Features
CUST_00632,2025-04-01,9,39,Product
CUST_00636,2025-12-01,6,9,Features
CUST_00641,2025-10-01,6,8,Support
CUST_00645,2024-12-01,5,-16,Product
CUST_00646,2025-06-01,8,62,Integration
CUST_00650,2025-01-01,8,14,Product
CUST_00650,2025-12-01,6,16,Product
CUST_00651,2025-10-01,10,53,Features
CUST_00654,2025-10-01,5,5,Features
CUST_00657,2024-12-01,6,-7,Support
CUST_00658,2025-05-01,9,37,Product
CUST_00663,2025-11-01,8,25,Product
CUST_00667,2024-09-01,9,30,Product
CUST_00673,2025-09-01,7,33,Support
CUST_00675,2025-09-01,6,19,Product
CUST_00678,2024-10-01,7,19,Features
CUST_00683,2025-03-01,9,28,Product
CUST_00688,2025-10-01,9,34,Product
CUST_00690,2025-05-01,6,0,Features
CUST_00693,2025-06-01,9,31,Product
CUST_00698,2024-12-01,6,25,Product
CUST_00698,2025-03-01,7,19,Product
CUST_00699,2025-10-01,5,-13,Support
CUST_00701,2024-12-01,4,-18,Support
CUST_00706,2025-01-01,6,25,Product
CUST_00709,2025-01-01,5,-26,Product
CUST_00710,2024-12-01,8,25,Product
CUST_00711,2025-05-01,7,5,Product
CUST_00713,2025-04-01,7,9,Features
CUST_00714,2025-04-01,5,7,Product
CUST_00717,2025-07-01,4,-10,Pricing
CUST_00717,2025-12-01,7,21,Support
CUST_00719,2024-09-01,8,12,Product
CUST_00721,2025-05-01,7,26,Features
CUST_00725,2024-04-01,8,26,Features
CUST_00731,2025-08-01,6,-6,Features
CUST_00737,2025-09-01,7,12,Features
CUST_00738,2024-11-01,9,40,Product
CUST_00742,2025-05-01,8,28,Features
CUST_00750,2025-11-01,9,45,Product
CUST_00758,2024-10-01,9,61,Product
CUST_00766,2025-09-01,9,37,Features
CUST_00767,2025-09-01,5,15,Support
CUST_00768,2024-09-01,9,34,Integration
CUST_00768,2025-11-01,7,21,Product
CUST_00778,2025-05-01,6,17,Product
CUST_00780,2025-10-01,8,32,Integration
CUST_00783,2024-06-01,6,-1,Features
CUST_00783,2024-06-01,6,21,Support
CUST_00787,2024-07-01,8,18,Integration
CUST_00788,2024-09-01,6,27,Support
CUST_00812,2025-07-01,9,47,Product
