customer_id,activity_month,months_since_sub,session_duration,feature_crm,feature_email_campaigns,feature_analytics,feature_automation,feature_advanced_analytics,feature_custom_workflows
CUST_00001,2024-04-01,0,23,1,0,1,1,0,0
CUST_00001,2024-05-01,1,31,1,3,1,0,0,0
CUST_00001,2024-06-01,2,31,2,2,1,1,0,0
CUST_00001,2024-07-01,3,41,1,1,1,1,0,0
CUST_00001,2024-08-01,4,63,1,0,1,0,0,0
CUST_00001,2024-09-01,5,61,1,1,3,0,0,0
CUST_00001,2024-10-01,6,40,1,3,2,0,0,0
CUST_00001,2024-11-01,7,50,0,0,3,2,0,0
CUST_00001,2024-12-01,8,35,3,3,0,0,0,0
CUST_00001,2025-01-01,9,55,1,2,0,0,0,0
CUST_00001,2025-02-01,10,49,0,2,0,0,0,0
CUST_00001,2025-03-01,11,38,2,2,0,1,0,0
CUST_00001,2025-04-01,12,21,3,1,2,0,0,0
CUST_00001,2025-05-01,13,58,1,0,2,0,0,0
CUST_00001,2025-06-01,14,27,0,1,1,1,0,0
CUST_00001,2025-07-01,15,26,0,2,0,1,0,0
CUST_00001,2025-08-01,16,21,3,1,1,1,0,0
CUST_00001,2025-09-01,17,23,1,2,1,0,0,0
CUST_00001,2025-10-01,18,17,1,0,0,0,0,0
CUST_00001,2025-11-01,19,19,1,1,2,0,0,0
CUST_00001,2025-12-01,20,33,0,0,1,0,0,0
CUST_00002,2025-04-01,0,12,0,0,0,1,0,0
CUST_00002,2025-05-01,1,11,0,1,0,1,0,0
CUST_00002,2025-06-01,2,11,2,0,1,0,0,0
CUST_00002,2025-07-01,3,38,0,1,0,0,0,0
CUST_00002,2025-08-01,4,14,1,0,0,1,0,0
CUST_00002,2025-09-01,5,20,0,1,2,0,0,0
CUST_00002,2025-10-01,6,16,1,0,1,0,0,0
CUST_00002,2025-11-01,7,24,0,1,1,0,0,0
CUST_00002,2025-12-01,8,10,1,0,0,0,0,0
CUST_00003,2024-05-01,0,36,1,0,0,1,0,1
CUST_00003,2024-06-01,1,22,0,0,0,0,0,0
CUST_00003,2024-07-01,2,19,1,0,0,0,0,0
CUST_00003,2024-08-01,3,30,1,1,1,0,0,0
CUST_00003,2024-09-01,4,38,0,1,0,1,1,1
CUST_00003,2024-10-01,5,27,0,2,1,0,1,0
CUST_00003,2024-11-01,6,23,1,0,0,1,0,0
CUST_00003,2024-12-01,7,13,0,1,0,0,0,0
CUST_00003,2025-01-01,8,33,0,1,0,0,0,0
CUST_00003,2025-02-01,9,40,0,1,1,0,0,0
CUST_00003,2025-03-01,10,37,1,3,1,1,0,0
CUST_00003,2025-04-01,11,35,0,1,0,0,0,0
CUST_00003,2025-05-01,12,24,0,1,0,0,0,0
CUST_00003,2025-06-01,13,33,0,0,1,0,0,0
CUST_00003,2025-07-01,14,36,0,0,0,0,0,0
CUST_00003,2025-08-01,15,12,1,1,2,0,0,0
CUST_00003,2025-09-01,16,41,1,0,0,2,0,0
CUST_00003,2025-10-01,17,20,0,0,0,0,0,0
CUST_00003,2025-11-01,18,13,0,0,0,1,0,0
CUST_00003,2025-12-01,19,15,1,0,0,0,1,0
CUST_00004,2024-07-01,0,76,1,0,0,1,0,0
CUST_00004,2024-08-01,1,73,3,3,2,0,1,2
CUST_00004,2024-09-01,2,43,4,1,1,0,0,1
CUST_00004,2024-10-01,3,92,4,2,4,1,0,0
CUST_00004,2024-11-01,4,96,3,1,4,1,0,0
CUST_00004,2024-12-01,5,115,1,1,0,1,2,0
CUST_00004,2025-01-01,6,84,6,2,2,0,2,0
CUST_00004,2025-02-01,7,72,1,2,3,0,0,0
CUST_00004,2025-03-01,8,104,3,0,0,2,1,0
CUST_00004,2025-04-01,9,50,0,1,1,1,3,1
CUST_00004,2025-05-01,10,97,1,0,1,1,1,1
CUST_00004,2025-06-01,11,80,4,1,0,2,0,0
CUST_00004,2025-07-01,12,60,9,0,2,1,2,1
CUST_00004,2025-08-01,13,90,1,1,3,0,1,2
CUST_00004,2025-09-01,14,39,0,1,2,2,1,0
CUST_00004,2025-10-01,15,45,1,0,0,0,0,0
CUST_00004,2025-11-01,16,29,2,2,6,1,0,0
CUST_00004,2025-12-01,17,56,3,2,1,0,0,0
CUST_00005,2025-07-01,0,11,0,0,1,0,0,0
CUST_00005,2025-08-01,1,13,0,0,1,1,0,0
CUST_00005,2025-09-01,2,23,0,0,0,0,0,0
CUST_00006,2024-07-01,0,37,1,0,1,0,0,0
CUST_00006,2024-08-01,1,21,2,0,0,0,0,0
CUST_00006,2024-09-01,2,35,0,0,0,0,0,0
CUST_00006,2024-10-01,3,44,0,0,1,0,0,0
CUST_00006,2024-11-01,4,7,1,0,1,1,0,0
CUST_00006,2024-12-01,5,4,0,0,0,0,0,0
CUST_00006,2025-01-01,6,11,0,0,0,0,0,0
CUST_00007,2025-04-01,0,64,1,0,0,1,0,0
CUST_00007,2025-05-01,1,43,2,1,1,0,0,0
CUST_00007,2025-06-01,2,42,1,0,0,0,0,0
CUST_00007,2025-07-01,3,20,1,0,1,2,0,0
CUST_00007,2025-08-01,4,23,1,0,0,0,0,0
CUST_00007,2025-09-01,5,27,0,1,0,1,0,0
CUST_00007,2025-10-01,6,11,1,0,2,0,0,0
CUST_00008,2024-01-01,0,49,2,1,1,1,0,0
CUST_00008,2024-02-01,1,63,1,3,0,0,0,0
CUST_00008,2024-03-01,2,35,0,2,1,1,0,0
CUST_00008,2024-04-01,3,43,3,0,1,0,0,0
CUST_00008,2024-05-01,4,22,1,0,0,1,0,0
CUST_00008,2024-06-01,5,56,0,2,3,3,0,0
CUST_00008,2024-07-01,6,42,2,2,1,0,0,0
CUST_00008,2024-08-01,7,35,0,2,0,0,0,0
